iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,undergra,mn_sat,tuition,race,imprace,imprelig,from,zipcode,income,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,shar1_s,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,satis_2,length,numdat_2,attr7_2,sinc7_2,intel7_2,fun7_2,amb7_2,shar7_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,attr5_2,sinc5_2,intel5_2,fun5_2,amb5_2,you_call,them_cal,date_3,numdat_3,num_in_3,attr1_3,sinc1_3,intel1_3,fun1_3,amb1_3,shar1_3,attr7_3,sinc7_3,intel7_3,fun7_3,amb7_3,shar7_3,attr4_3,sinc4_3,intel4_3,fun4_3,amb4_3,shar4_3,attr2_3,sinc2_3,intel2_3,fun2_3,amb2_3,shar2_3,attr3_3,sinc3_3,intel3_3,fun3_3,amb3_3,attr5_3,sinc5_3,intel5_3,fun5_3,amb5_3
191,8.0,1,16,1,8,10,5,10.0,6,8,181.0,1,0.16,0,22.0,1.0,15.38,19.23,19.23,17.31,17.31,11.54,1,8.0,9.0,8.0,8.0,8.0,4.0,6.0,5.0,2.0,28.0,Business,8.0,,,,2.0,6.0,1.0,Connecticut,"6,878",,5.0,4.0,2.0,Private Equity,7.0,8.0,1.0,7.0,8.0,6.0,6.0,6.0,1.0,8.0,7.0,3.0,4.0,8.0,4.0,7.0,1.0,7.0,4.0,,20.45,20.45,20.45,18.18,18.18,2.27,8.0,7.0,6.0,5.0,4.0,5.0,9.09,20.45,18.18,15.91,20.45,15.91,7.0,7.0,6.0,7.0,8.0,,,,,,1,8.0,8.0,8.0,8.0,8.0,5.0,7.0,7.0,2.0,4.0,21.28,19.15,19.15,19.15,17.02,4.26,7.0,8.0,8.0,7.0,8.0,5.0,3.0,3.0,,,,,,,21.43,19.05,19.05,19.05,16.67,4.76,9.0,7.0,6.0,6.0,5.0,7.0,13.04,17.39,17.39,15.22,19.57,17.39,7.0,6.0,8.0,7.0,8.0,,,,,,0.0,0.0,0.0,,,20.93,20.93,18.6,18.6,16.28,4.65,,,,,,,9.0,7.0,6.0,7.0,3.0,5.0,7.0,8.0,9.0,8.0,9.0,,7.0,7.0,7.0,7.0,7.0,,,,,
131,10.0,1,18,1,5,10,10,,10,12,121.0,0,0.52,0,21.0,2.0,35.0,15.0,5.0,30.0,15.0,0.0,1,7.0,10.0,10.0,8.0,10.0,1.0,9.0,1.0,2.0,19.0,Computer Science,5.0,,,,4.0,4.0,1.0,New York,"10,002","17,378.00",2.0,7.0,3.0,Not Sure,10.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,6.0,4.0,8.0,7.0,6.0,8.0,7.0,6.0,5.0,3.0,5.0,0.0,25.0,10.0,20.0,20.0,10.0,15.0,,,,,,,30.0,10.0,20.0,20.0,10.0,10.0,4.0,6.0,4.0,6.0,6.0,,,,,,0,7.0,5.0,10.0,6.0,7.0,2.0,2.0,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,40.0,20.0,20.0,10.0,5.0,5.0,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,,,,,
531,1.0,1,2,2,21,22,15,14.0,2,3,511.0,0,0.26,1,23.0,4.0,20.0,10.0,10.0,30.0,15.0,15.0,1,6.0,5.0,7.0,7.0,5.0,6.0,6.0,6.0,2.0,25.0,ELECTRICAL ENGINEERING,5.0,COOPER UNION,,,4.0,5.0,1.0,"BEIJING, CHINA","11,572",,2.0,7.0,2.0,TEACHING,2.0,10.0,10.0,6.0,6.0,10.0,10.0,10.0,6.0,6.0,6.0,10.0,10.0,10.0,8.0,10.0,1.0,6.0,7.0,,15.0,30.0,20.0,20.0,10.0,5.0,15.0,30.0,20.0,20.0,10.0,5.0,30.0,30.0,0.0,20.0,0.0,20.0,10.0,10.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0,5.0,10.0,10.0,8.0,10.0,5.0,5.0,1.0,0.0,2.0,,,,,,,,,,,,3.0,1.0,2.0,30.0,20.0,10.0,20.0,0.0,20.0,30.0,30.0,20.0,20.0,0.0,0.0,30.0,30.0,20.0,20.0,0.0,0.0,50.0,10.0,0.0,40.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,19.0,1,38,2,21,22,3,7.0,19,21,529.0,0,0.33,0,22.0,4.0,10.0,25.0,25.0,10.0,10.0,20.0,0,4.0,5.0,5.0,4.0,,,4.0,4.0,2.0,28.0,General management/finance,8.0,"LUISS, Rome",,,2.0,2.0,3.0,Italy,136,,1.0,7.0,1.0,General management/consulting,7.0,8.0,5.0,6.0,9.0,7.0,7.0,4.0,8.0,8.0,7.0,7.0,8.0,8.0,10.0,10.0,8.0,2.0,5.0,,20.0,20.0,20.0,20.0,0.0,20.0,50.0,10.0,5.0,20.0,5.0,10.0,35.0,10.0,10.0,15.0,20.0,10.0,7.0,10.0,8.0,9.0,9.0,7.0,10.0,10.0,7.0,7.0,0,4.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,0.0,3.0,,,,,,,,,,,,6.0,1.0,2.0,40.0,20.0,20.0,20.0,0.0,0.0,20.0,15.0,20.0,25.0,5.0,5.0,40.0,0.0,20.0,25.0,0.0,15.0,40.0,10.0,15.0,25.0,10.0,0.0,6.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,1.0,0.0,0.0,,,30.0,10.0,20.0,30.0,5.0,5.0,40.0,0.0,30.0,30.0,0.0,0.0,40.0,0.0,20.0,20.0,10.0,10.0,40.0,0.0,20.0,20.0,10.0,10.0,7.0,9.0,8.0,7.0,8.0,5.0,8.0,8.0,6.0,8.0
403,7.0,1,14,2,15,18,9,15.0,13,10,388.0,0,0.34,1,24.0,2.0,22.0,17.0,15.0,15.0,15.0,16.0,0,5.0,8.0,8.0,7.0,6.0,5.0,4.0,5.0,2.0,22.0,Financial Engineering,5.0,Supaero (France),,,2.0,6.0,6.0,Paris,"78,100",,5.0,5.0,3.0,Work in an investment bank,7.0,9.0,8.0,3.0,7.0,4.0,3.0,5.0,3.0,3.0,5.0,6.0,5.0,8.0,3.0,6.0,2.0,1.0,6.0,,20.0,25.0,20.0,15.0,5.0,15.0,25.0,20.0,20.0,15.0,10.0,10.0,25.0,20.0,10.0,20.0,15.0,10.0,4.0,8.0,7.0,9.0,9.0,4.0,8.0,9.0,7.0,7.0,0,7.0,4.0,5.0,,,,5.0,2.0,,3.0,20.0,20.0,15.0,15.0,10.0,20.0,4.0,8.0,9.0,7.0,9.0,6.0,1.0,2.0,20.0,20.0,15.0,20.0,15.0,10.0,20.0,20.0,15.0,25.0,15.0,5.0,20.0,20.0,15.0,20.0,10.0,15.0,25.0,20.0,15.0,20.0,10.0,10.0,4.0,8.0,9.0,7.0,9.0,3.0,7.0,7.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,12.0,0,23,2,21,22,9,9.0,12,20,550.0,0,0.67,0,30.0,2.0,30.0,3.0,30.0,30.0,3.0,4.0,1,4.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,2.0,28.0,Social Work/SIPA,11.0,Santa Clara University,"1,239.00","20,337.00",6.0,2.0,1.0,Hawaii,"96,797","46,280.00",1.0,7.0,1.0,Foreign Service,9.0,4.0,6.0,8.0,8.0,10.0,8.0,5.0,2.0,9.0,10.0,8.0,9.0,8.0,5.0,5.0,8.0,2.0,5.0,,25.0,15.0,25.0,15.0,10.0,10.0,40.0,5.0,20.0,10.0,10.0,15.0,40.0,5.0,15.0,20.0,10.0,10.0,8.0,9.0,7.0,8.0,5.0,7.0,9.0,9.0,7.0,7.0,0,6.0,7.0,6.0,6.0,6.0,5.0,6.0,5.0,0.0,4.0,,,,,,,,,,,,5.0,3.0,2.0,30.0,10.0,10.0,25.0,5.0,20.0,20.0,15.0,20.0,20.0,10.0,15.0,30.0,15.0,10.0,20.0,10.0,15.0,40.0,10.0,5.0,30.0,5.0,10.0,8.0,9.0,7.0,6.0,6.0,7.0,9.0,7.0,7.0,7.0,0.0,0.0,0.0,,,25.0,15.0,25.0,15.0,5.0,15.0,25.0,10.0,20.0,25.0,5.0,15.0,30.0,15.0,15.0,20.0,10.0,10.0,50.0,15.0,5.0,20.0,5.0,5.0,8.0,9.0,9.0,7.0,5.0,7.0,9.0,7.0,6.0,6.0
535,5.0,1,10,2,21,22,5,18.0,10,15,523.0,0,0.52,0,27.0,4.0,10.0,25.0,20.0,20.0,5.0,20.0,1,2.0,3.0,10.0,4.0,7.0,8.0,5.0,3.0,2.0,23.0,Biochemistry,10.0,Loyola College,"1,210.00","23,500.00",2.0,5.0,6.0,Maryland,"19,380","48,137.00",1.0,5.0,3.0,Science,2.0,4.0,3.0,4.0,7.0,7.0,6.0,2.0,8.0,8.0,8.0,6.0,6.0,9.0,8.0,9.0,5.0,6.0,6.0,,23.0,14.0,19.0,16.0,10.0,18.0,30.0,10.0,15.0,20.0,10.0,15.0,20.0,15.0,15.0,20.0,20.0,10.0,6.0,7.0,6.0,7.0,5.0,6.0,7.0,8.0,6.0,6.0,0,6.0,5.0,6.0,7.0,6.0,4.0,5.0,3.0,0.0,8.0,,,,,,,,,,,,7.0,1.0,3.0,25.0,10.0,15.0,20.0,10.0,20.0,20.0,15.0,20.0,15.0,10.0,20.0,25.0,15.0,15.0,20.0,10.0,15.0,20.0,15.0,15.0,15.0,20.0,15.0,7.0,8.0,7.0,7.0,6.0,7.0,7.0,8.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,4.0,1,8,2,7,16,7,7.0,1,15,156.0,0,-0.16,0,30.0,1.0,14.0,18.0,16.0,18.0,18.0,16.0,1,8.0,9.0,10.0,7.0,9.0,5.0,8.0,7.0,2.0,22.0,Biochemistry,10.0,,,,2.0,6.0,2.0,"State College, PA","15,668","53,771.00",2.0,4.0,2.0,undecided,10.0,9.0,9.0,9.0,8.0,7.0,6.0,7.0,7.0,9.0,9.0,8.0,6.0,8.0,6.0,9.0,6.0,2.0,7.0,,16.67,18.75,18.75,18.75,18.75,8.33,8.0,8.0,9.0,9.0,9.0,7.0,14.55,18.18,18.18,16.36,18.18,14.55,8.0,7.0,9.0,9.0,7.0,,,,,,0,7.0,9.0,10.0,8.0,8.0,4.0,5.0,3.0,0.0,,20.0,20.0,15.56,20.0,13.33,11.11,8.0,6.0,9.0,10.0,6.0,4.0,1.0,3.0,,,,,,,16.0,18.0,18.0,20.0,12.0,16.0,8.0,8.0,9.0,9.0,5.0,9.0,14.55,18.18,16.36,18.18,16.36,16.36,8.0,8.0,10.0,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,5.0,1,10,1,1,10,4,,4,5,5.0,0,-0.16,0,21.0,2.0,20.0,5.0,25.0,25.0,10.0,15.0,0,6.0,7.0,7.0,5.0,4.0,8.0,7.0,4.0,2.0,24.0,Law,1.0,,,,3.0,3.0,1.0,Miami,"33,183","36,782.00",1.0,4.0,1.0,Lawyer,1.0,9.0,7.0,9.0,7.0,4.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,9.0,6.0,7.0,2.0,1.0,5.0,9.0,30.0,10.0,20.0,10.0,10.0,20.0,,,,,,,20.0,20.0,20.0,20.0,10.0,10.0,7.0,7.0,7.0,9.0,9.0,,,,,,0,5.0,9.0,9.0,7.0,9.0,5.0,5.0,7.0,2.0,,,,,,,,,,,,,8.0,2.0,1.0,,,,,,,21.21,18.18,12.12,21.21,6.06,21.21,,,,,,,,,,,,,7.0,7.0,9.0,7.0,9.0,,,,,,3.0,0.0,0.0,,,30.0,10.0,20.0,20.0,5.0,15.0,,,,,,,,,,,,,,,,,,,7.0,7.0,9.0,7.0,9.0,,,,,
471,6.0,0,11,2,19,15,12,13.0,1,9,489.0,1,0.04,0,28.0,2.0,20.0,10.0,20.0,20.0,20.0,0.0,1,6.0,8.0,9.0,7.0,8.0,6.0,7.0,8.0,2.0,30.0,medicine,4.0,Stanford University,"1,450.00","25,917.00",4.0,8.0,8.0,"California, New Jersey","8,091",,2.0,5.0,3.0,physician,4.0,3.0,4.0,6.0,10.0,7.0,7.0,5.0,2.0,9.0,7.0,8.0,6.0,8.0,6.0,6.0,10.0,4.0,5.0,,15.0,15.0,25.0,10.0,15.0,20.0,25.0,10.0,15.0,15.0,15.0,20.0,25.0,10.0,15.0,15.0,15.0,20.0,7.0,8.0,8.0,9.0,9.0,7.0,8.0,8.0,7.0,7.0,1,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,0.0,2.0,7.0,6.0,9.0,7.0,8.0,10.0,6.0,7.0,7.0,6.0,7.0,2.0,3.0,2.0,35.0,10.0,20.0,10.0,10.0,15.0,25.0,10.0,20.0,10.0,15.0,20.0,30.0,15.0,10.0,15.0,10.0,20.0,30.0,15.0,10.0,20.0,10.0,15.0,7.0,8.0,8.0,8.0,8.0,6.0,6.0,8.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
